Motion Sensor Data File Oct 15, 2024 2:31 PM
Time (s)	Distance (cm)	Dist Error (cm)
3.960	27.765	0.239
3.970	27.907	0.239
3.980	28.031	0.239
3.990	28.147	0.239
4.000	28.220	0.239
4.010	28.275	0.239
4.020	28.318	0.239
4.030	28.322	0.239
4.040	28.300	0.239
4.050	28.269	0.239
4.060	28.201	0.239
4.070	28.123	0.239
4.080	28.002	0.239
4.090	27.864	0.239
4.100	27.718	0.239
4.110	27.532	0.239
4.120	27.335	0.239
4.130	27.128	0.239
4.140	26.891	0.239
4.150	26.646	0.239
4.160	26.396	0.239
4.170	26.125	0.239
4.180	25.841	0.239
4.190	25.570	0.239
4.200	25.277	0.239
4.210	25.001	0.239
4.220	24.704	0.239
4.230	24.412	0.239
4.240	24.141	0.239
4.250	23.856	0.239
4.260	23.581	0.239
4.270	23.331	0.239
4.280	23.073	0.239
4.290	22.836	0.239
4.300	22.630	0.239
4.310	22.418	0.239
4.320	22.234	0.239
4.330	22.078	0.239
4.340	21.932	0.239
4.350	21.807	0.239
4.360	21.725	0.239
4.370	21.647	0.239
4.380	21.604	0.239
4.390	21.569	0.239
4.400	21.564	0.239
4.410	21.598	0.239
4.420	21.646	0.239
4.430	21.710	0.239
4.440	21.813	0.239
4.450	21.937	0.239
4.460	22.070	0.239
4.470	22.246	0.239
4.480	22.426	0.239
4.490	22.624	0.239
4.500	22.851	0.239
4.510	23.079	0.239
4.520	23.337	0.239
4.530	23.590	0.239
4.540	23.861	0.239
4.550	24.144	0.239
4.560	24.419	0.239
4.570	24.702	0.239
4.580	25.003	0.239
4.590	25.287	0.239
4.600	25.570	0.239
4.610	25.858	0.239
4.620	26.132	0.239
4.630	26.395	0.239
4.640	26.661	0.239
4.650	26.897	0.239
4.660	27.133	0.239
4.670	27.344	0.239
4.680	27.528	0.239
4.690	27.713	0.239
4.700	27.863	0.239
4.710	27.992	0.239
4.720	28.112	0.239
4.730	28.197	0.239
4.740	28.253	0.239
4.750	28.300	0.239
4.760	28.312	0.239
4.770	28.299	0.239
4.780	28.273	0.239
4.790	28.213	0.239
4.800	28.143	0.239
4.810	28.031	0.239
4.820	27.894	0.239
4.830	27.756	0.239
4.840	27.575	0.239
4.850	27.381	0.239
4.860	27.183	0.239
4.870	26.950	0.239
4.880	26.705	0.239
4.890	26.460	0.239
4.900	26.188	0.239
4.910	25.917	0.239
4.920	25.646	0.239
4.930	25.358	0.239
4.940	25.078	0.239
4.950	24.785	0.239
4.960	24.497	0.239
4.970	24.217	0.239
4.980	23.933	0.239
4.990	23.653	0.239
5.000	23.404	0.239
5.010	23.141	0.239
5.020	22.900	0.239
5.030	22.685	0.239
5.040	22.474	0.239
5.050	22.284	0.239
5.060	22.120	0.239
5.070	21.974	0.239
5.080	21.853	0.239
5.090	21.750	0.239
5.100	21.668	0.239
5.110	21.620	0.239
5.120	21.586	0.239
5.130	21.572	0.239
5.140	21.598	0.239
5.150	21.636	0.239
5.160	21.696	0.239
5.170	21.790	0.239
5.180	21.906	0.239
5.190	22.039	0.239
5.200	22.202	0.239
5.210	22.382	0.239
5.220	22.584	0.239
5.230	22.795	0.239
5.240	23.022	0.239
5.250	23.275	0.239
5.260	23.525	0.239
5.270	23.787	0.239
5.280	24.070	0.239
5.290	24.345	0.239
5.300	24.628	0.239
5.310	24.925	0.239
5.320	25.208	0.239
5.330	25.487	0.239
5.340	25.779	0.239
5.350	26.055	0.239
5.360	26.334	0.239
5.370	26.583	0.239
5.380	26.823	0.239
5.390	27.063	0.239
5.400	27.274	0.239
5.410	27.467	0.239
5.420	27.660	0.239
5.430	27.815	0.239
5.440	27.944	0.239
5.450	28.072	0.239
5.460	28.158	0.239
5.470	28.226	0.239
5.480	28.282	0.239
5.490	28.299	0.239
5.500	28.303	0.239
5.510	28.273	0.239
5.520	28.216	0.239
5.530	28.151	0.239
5.540	28.048	0.239
5.550	27.919	0.239
5.560	27.781	0.239
5.570	27.609	0.239
5.580	27.423	0.239
5.590	27.225	0.239
5.600	27.001	0.239
5.610	26.764	0.239
5.620	26.519	0.239
5.630	26.257	0.239
5.640	25.998	0.239
5.650	25.714	0.239
5.660	25.426	0.239
5.670	25.146	0.239
5.680	24.853	0.239
5.690	24.565	0.239
5.700	24.285	0.239
5.710	24.001	0.239
5.720	23.721	0.239
5.730	23.467	0.239
5.740	23.209	0.239
5.750	22.964	0.239
5.760	22.744	0.239
5.770	22.529	0.239
5.780	22.348	0.239
5.790	22.163	0.239
5.800	22.012	0.239
5.810	21.887	0.239
5.820	21.770	0.239
5.830	21.684	0.239
5.840	21.632	0.239
5.850	21.589	0.239
5.860	21.571	0.239
5.870	21.593	0.239
5.880	21.623	0.239
5.890	21.678	0.239
5.900	21.764	0.239
5.910	21.871	0.239
5.920	22.013	0.239
5.930	22.154	0.239
5.940	22.326	0.239
5.950	22.523	0.239
5.960	22.729	0.239
5.970	22.953	0.239
5.980	23.197	0.239
5.990	23.447	0.239
6.000	23.704	0.239
6.010	23.983	0.239
6.020	24.262	0.239
6.030	24.542	0.239
6.040	24.834	0.239
6.050	25.117	0.239
6.060	25.413	0.239
6.070	25.697	0.239
6.080	25.972	0.239
6.090	26.251	0.239
6.100	26.504	0.239
6.110	26.753	0.239
6.120	26.998	0.239
6.130	27.213	0.239
6.140	27.410	0.239
6.150	27.603	0.239
6.160	27.767	0.239
6.170	27.904	0.239
6.180	28.037	0.239
6.190	28.131	0.239
6.200	28.221	0.239
6.210	28.268	0.239
6.220	28.289	0.239
6.230	28.306	0.239
6.240	28.276	0.239
6.250	28.228	0.239
6.260	28.168	0.239
6.270	28.073	0.239
6.280	27.948	0.239
6.290	27.818	0.239
6.300	27.655	0.239
6.310	27.470	0.239
6.320	27.280	0.239
6.330	27.056	0.239
6.340	26.832	0.239
6.350	26.583	0.239
6.360	26.329	0.239
6.370	26.066	0.239
6.380	25.786	0.239
6.390	25.498	0.239
6.400	25.223	0.239
6.410	24.934	0.239
6.420	24.642	0.239
6.430	24.366	0.239
6.440	24.082	0.239
6.450	23.802	0.239
6.460	23.548	0.239
6.470	23.286	0.239
6.480	23.049	0.239
6.490	22.808	0.239
6.500	22.593	0.239
6.510	22.403	0.239
6.520	22.218	0.239
6.530	22.059	0.239
6.540	21.933	0.239
6.550	21.813	0.239
6.560	21.718	0.239
6.570	21.662	0.239
6.580	21.610	0.239
6.590	21.588	0.239
6.600	21.596	0.239
6.610	21.626	0.239
6.620	21.681	0.239
6.630	21.750	0.239
6.640	21.844	0.239
6.650	21.982	0.239
6.660	22.119	0.239
6.670	22.286	0.239
6.680	22.480	0.239
6.690	22.686	0.239
6.700	22.900	0.239
6.710	23.141	0.239
6.720	23.386	0.239
6.730	23.643	0.239
6.740	23.918	0.239
6.750	24.193	0.239
6.760	24.481	0.239
6.770	24.764	0.239
6.780	25.047	0.239
6.790	25.344	0.239
6.800	25.623	0.239
6.810	25.894	0.239
6.820	26.177	0.239
6.830	26.439	0.239
6.840	26.688	0.239
6.850	26.933	0.239
6.860	27.152	0.239
6.870	27.358	0.239
6.880	27.551	0.239
6.890	27.723	0.239
6.900	27.877	0.239
6.910	28.002	0.239
6.920	28.105	0.239
6.930	28.195	0.239
6.940	28.250	0.239
6.950	28.280	0.239
6.960	28.297	0.239
6.970	28.279	0.239
6.980	28.240	0.239
6.990	28.184	0.239
7.000	28.094	0.239
7.010	27.977	0.239
7.020	27.857	0.239
7.030	27.697	0.239
7.040	27.533	0.239
7.050	27.336	0.239
7.060	27.120	0.239
7.070	26.896	0.239
7.080	26.655	0.239
7.090	26.397	0.239
7.100	26.138	0.239
7.110	25.859	0.239
7.120	25.579	0.239
7.130	25.303	0.239
7.140	25.015	0.239
7.150	24.731	0.239
7.160	24.451	0.239
7.170	24.163	0.239
7.180	23.896	0.239
7.190	23.620	0.239
7.200	23.354	0.239
7.210	23.108	0.239
7.220	22.876	0.239
7.230	22.652	0.239
7.240	22.454	0.239
7.250	22.273	0.239
7.260	22.101	0.239
7.270	21.976	0.239
7.280	21.842	0.239
7.290	21.743	0.239
7.300	21.682	0.239
7.310	21.626	0.239
7.320	21.609	0.239
7.330	21.600	0.239
7.340	21.617	0.239
7.350	21.668	0.239
7.360	21.732	0.239
7.370	21.818	0.239
7.380	21.951	0.239
7.390	22.084	0.239
7.400	22.247	0.239
7.410	22.436	0.239
7.420	22.633	0.239
7.430	22.839	0.239
7.440	23.080	0.239
7.450	23.320	0.239
7.460	23.591	0.239
7.470	23.853	0.239
7.480	24.119	0.239
7.490	24.407	0.239
7.500	24.690	0.239
7.510	24.974	0.239
7.520	25.270	0.239
7.530	25.549	0.239
7.540	25.824	0.239
7.550	26.112	0.239
7.560	26.374	0.239
7.570	26.619	0.239
7.580	26.872	0.239
7.590	27.095	0.239
7.600	27.314	0.239
7.610	27.503	0.239
7.620	27.675	0.239
7.630	27.838	0.239
7.640	27.966	0.239
7.650	28.078	0.239
7.660	28.172	0.239
7.670	28.232	0.239
7.680	28.271	0.239
7.690	28.296	0.239
7.700	28.283	0.239
7.710	28.248	0.239
7.720	28.201	0.239
7.730	28.114	0.239
7.740	28.019	0.239
7.750	27.886	0.239
7.760	27.739	0.239
7.770	27.571	0.239
7.780	27.382	0.239
7.790	27.167	0.239
7.800	26.955	0.239
7.810	26.715	0.239
7.820	26.460	0.239
7.830	26.202	0.239
7.840	25.935	0.239
7.850	25.660	0.239
7.860	25.384	0.239
7.870	25.096	0.239
7.880	24.812	0.239
7.890	24.524	0.239
7.900	24.235	0.239
7.910	23.968	0.239
7.920	23.693	0.239
7.930	23.422	0.239
7.940	23.180	0.239
7.950	22.944	0.239
7.960	22.716	0.239
7.970	22.513	0.239
7.980	22.324	0.239
7.990	22.147	0.239
8.000	22.013	0.239
8.010	21.880	0.239
8.020	21.785	0.239
8.030	21.703	0.239
8.040	21.638	0.239
8.050	21.612	0.239
8.060	21.599	0.239
8.070	21.611	0.239
8.080	21.663	0.239
8.090	21.723	0.239
8.100	21.804	0.239
8.110	21.924	0.239
8.120	22.053	0.239
8.130	22.203	0.239
8.140	22.388	0.239
8.150	22.577	0.239
8.160	22.796	0.239
8.170	23.023	0.239
8.180	23.259	0.239
8.190	23.517	0.239
8.200	23.779	0.239
8.210	24.049	0.239
8.220	24.333	0.239
8.230	24.616	0.239
8.240	24.896	0.239
8.250	25.188	0.239
8.260	25.467	0.239
8.270	25.750	0.239
8.280	26.033	0.239
8.290	26.296	0.239
8.300	26.558	0.239
8.310	26.798	0.239
8.320	27.030	0.239
8.330	27.249	0.239
8.340	27.446	0.239
8.350	27.618	0.239
8.360	27.790	0.239
8.370	27.923	0.239
8.380	28.034	0.239
8.390	28.137	0.239
8.400	28.205	0.239
8.410	28.248	0.239
8.420	28.282	0.239
8.430	28.278	0.239
8.440	28.260	0.239
8.450	28.208	0.239
8.460	28.131	0.239
8.470	28.045	0.239
8.480	27.915	0.239
8.490	27.769	0.239
8.500	27.613	0.239
8.510	27.428	0.239
8.520	27.222	0.239
8.530	27.015	0.239
8.540	26.778	0.239
8.550	26.524	0.239
8.560	26.279	0.239
8.570	26.008	0.239
